"id;""user_id"";""created_at"";""tweet_text"";""hashtag_entities"";""url_entities"";""favorites_count"";""retweet_count"";""quoted_status_id"";""in_reply_to_status_id"""
"488814426666315776;1061385474;""2014-07-14 22:36:55"";""I enjoyed speaking with @actuary_dot_org about my bill to create a new service program for caregiving #CARECorps http://t.co/irs0UIiM8L"";""{CARECorps}"";""{}"";3;3;;"
"834855385416757249;2970279814;""2017-02-23 20:00:09"";""We are concerned &amp; actively seeking answers on reports of increased enforcement activity by ICE in our communities https://t.co/WXEbQju40q"";""{}"";""{http://bit.ly/2lzZl8M}"";23;12;;"
"659061646556557312;240812994;""2015-10-27 17:38:35"";""RT @NYCEDC: Thanks to @BPEricAdams", @CMMathieuEugene, CACCI, @NYCHousing," @NYCSmallBizSvcs for helping make this next phase of #FlatbushCat..."";""{}"";""{}"";0;6;;"
"501772450859061248;1321432124;""2014-08-19 16:47:29"";""How @GovernorCorbett's $1 Billion in cuts to education have harmed Pennsylvania #PublicSchools: http://t.co/Juw6dKWBe2 #pagov"";""{PublicSchools","pagov}"";""{http://t.co/Juw6dKWBe2}"";4;10;;"
"781520572937363457;2963445730;""2016-09-29 15:46:39"";""RT @GovExecEvents: ICYM @GerryConnolly &amp; @HurdOnTheHill talk #FITARAForward yesterday w/ @Frank_Konkel"," here's the recording! https://t.co/..."";""{FITARAForward}"";""{}"";0;4;;"
"302825285894692864;235271965;""2013-02-16 17:02:29"";""Round table discussion in Anthony"," NM http://t.co/gxgYjIyp"";""{}"";""{}"";0;0;;"
"822474938477150209;815966620300480514;""2017-01-20 16:04:40"";""Off to the #Inauguration of our 45th President. https://t.co/L5jrW62Znq"";""{Inauguration}"";""{}"";11;0;;"
"159388300522700800;216481299;""2012-01-17 21:35:06"";""New DEED grants as part of #jobsplan will help #MN communities respond to job creation oppurtunities quickly - http://t.co/WHs7qOFf"";""{jobsplan","MN}"";""{http://t.co/WHs7qOFf}"";0;1;;"
"245924793675829248;229197216;""2012-09-12 16:40:14"";""RT @Jim_Jordan: thanks to @RepDavid @CongHuelskamp @Raul_Labrador @repjefflandry  @RepMcClintock"," september's #cwc112 has been the best yet"";""{cwc112}"";""{}"";0;3;;"
"825118354662912004;58928690;""2017-01-27 23:08:40"";""Tune into the @CNNSitRoom on @CNN where I am joining Wolf Blitzer LIVE to discuss my concerns with President Trump's recent Executive Orders"";""{}"";""{}"";29;5;;"
"753599789263122432;18916432;""2016-07-14 14:39:25"";""RT @RepLarryBucshon: Proud to join @SpeakerRyan for this! Tune in here: https://t.co/3FFrvDHzv1. https://t.co/rVsq5wImZ8"";""{}"";""{https://t.co/3FFrvDHzv1","https://t.co/rVsq5wImZ8}"";0;9;;"
"413325739941842947;1058807868;""2013-12-18 15:11:50"";""Thank you to everyone who submitted questions last week for my Q&amp;A! Part 1 is uploaded here: http://t.co/HYnn3oN4vO. #tcot #FL06"";""{tcot","FL06}"";""{http://t.co/HYnn3oN4vO}"";0;5;;"
"159332181527896064;23976316;""2012-01-17 17:52:06"";""The House has been working to make a leaner"," more efficient govt to help spur job creation. Read those bills here http://t.co/GIWrpop6"";""{}"";""{http://t.co/GIWrpop6}"";0;0;;"
"611594948513787904;78403308;""2015-06-18 18:02:53"";""It was an honor to meet SSG Sneed &amp; SSG Ledoux from #Georgia today. Thank you for your service to our country. #GaMil http://t.co/RDbxvkgvJm"";""{Georgia","GaMil}"";""{}"";4;2;;"
"156500507836416002;161743731;""2012-01-09 22:20:03"";""See photos from my visit today with members of the U.S. Air Force at the Al Udeid Air Base in #Qatar here http://t.co/SSDCOf8o"";""{Qatar}"";""{http://t.co/SSDCOf8o}"";0;0;;"
"828717240048549889;811313565760163844;""2017-02-06 21:29:21"";""Diversity is our strength. Looking forward to a productive &amp; historic 79th #nvleg session with @AaronDFordNV &amp;... https://t.co/8D3jo8jvfA"";""{nvleg}"";""{https://t.co/8D3jo8jvfA}"";103;38;828698632224284673;"
"722194573578080258;239871673;""2016-04-18 22:46:18"";""BREAKING: Harrisburg Courthouse project gets $29.5M in initial funding. Long time coming"," still long way to go. https://t.co/e83TqG73U8"";""{}"";""{https://t.co/e83TqG73U8}"";2;1;;"
"316596162431954945;48724141;""2013-03-26 17:03:01"";""Bet the team appreciates the support! RT @thetruthtc: Here is #BlueHensMadness pt 2. #RT for your team tn in Round 2! http://t.co/Na1rw34jWA"";""{BlueHensMadness","RT}"";""{http://t.co/Na1rw34jWA}"";1;4;;"
"727259536537608192;17513304;""2016-05-02 22:12:39"";""By giving law enforcement one additional tool"," we can help bring home missing children. https://t.co/gDS7xzRPaj"";""{}"";""{https://t.co/gDS7xzRPaj}"";4;3;;"
